iter,lambda,winChanceThreshold,territoryfeatureweight,alpha,statevalue,randomchancethreshold,hinterlandfeatureweight,bestenemyfeatureweight,armiesfeatureweight,enemyreinforcementfeatureweight
18,0.5,0.5,-0.8929957961217709,0.05,3.036707927002646,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
19,0.5,0.5,-0.8929957961217709,0.05,3.0364066054424277,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
20,0.5,0.5,-0.8929957961217709,0.05,3.0364066054424277,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
21,0.5,0.5,-0.8929957961217709,0.05,3.0361432884033177,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
22,0.5,0.5,-0.8929957961217709,0.05,3.0361432884033177,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
23,0.5,0.5,-0.8929957961217709,0.05,3.035911212368848,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
24,0.5,0.5,-0.8929957961217709,0.05,3.035911212368848,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
25,0.5,0.5,-0.8929957961217709,0.05,3.035705128850239,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
26,0.5,0.5,-0.8929957961217709,0.05,3.035705128850239,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
27,0.5,0.5,-0.8929957961217709,0.05,3.035520902674513,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
28,0.5,0.5,-0.8929957961217709,0.05,3.035520902674513,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
29,0.5,0.5,-0.8929957961217709,0.05,3.0353778699293836,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
30,0.5,0.5,-0.8929957961217709,0.05,3.0353778699293836,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
31,0.5,0.5,-0.8929957961217709,0.05,3.035225959289729,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
32,0.5,0.5,-0.8929957961217709,0.05,3.035225959289729,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
33,0.5,0.5,-0.8929957961217709,0.05,3.035088040419517,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
34,0.5,0.5,-0.8929957961217709,0.05,3.035088040419517,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
35,0.5,0.5,-0.8929957961217709,0.05,3.034962265349197,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
36,0.5,0.5,-0.8929957961217709,0.05,3.034962265349197,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
37,0.5,0.5,-0.8929957961217709,0.05,3.0348470978149287,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
38,0.5,0.5,-0.8929957961217709,0.05,3.0348470978149287,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
39,0.5,0.5,-0.8929957961217709,0.05,3.551786201533492,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
40,0.5,0.5,-0.8929957961217709,0.05,3.551786201533492,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
41,0.5,0.5,-0.8929957961217709,0.05,3.5511319440996534,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
42,0.5,0.5,-0.8929957961217709,0.05,3.5511319440996534,0.2,-0.0911784763575562,-0.21672408887784322,0.397860320580222,0.45368266786798556
43,0.5,0.5,-0.8942571005014834,0.05,3.439138742996114,0.2,-0.09145333243476483,-0.21540945740372297,0.39656792564731974,0.4352778372810371
44,0.5,0.5,-0.8942571005014834,0.05,3.439138742996114,0.2,-0.09145333243476483,-0.21540945740372297,0.39656792564731974,0.4352778372810371
45,0.5,0.5,-0.8954694886309658,0.05,3.2830279316710667,0.2,-0.09171114744135758,-0.21407494463243873,0.395300053860699,0.41643434080389613
46,0.5,0.5,-0.8954694886309658,0.05,3.2830279316710667,0.2,-0.09171114744135758,-0.21407494463243873,0.395300053860699,0.41643434080389613
47,0.5,0.5,-0.8954694886309658,0.05,3.72616125638516,0.2,-0.09171114744135758,-0.21407494463243873,0.395300053860699,0.41643434080389613
48,0.5,0.5,-0.8954694886309658,0.05,3.72616125638516,0.2,-0.09171114744135758,-0.21407494463243873,0.395300053860699,0.41643434080389613
49,0.5,0.5,-0.8964885281962112,0.05,3.1446282455788404,0.2,-0.09192596738996295,-0.21289531977653958,0.3942163325744112,0.39951638798361605
50,0.5,0.5,-0.8964885281962112,0.05,3.1446282455788404,0.2,-0.09192596738996295,-0.21289531977653958,0.3942163325744112,0.39951638798361605
51,0.5,0.5,-0.8991604073643952,0.05,2.7707041757745032,0.2,-0.09246180308109646,-0.20952809981255238,0.3912972656150752,0.35261134697454016
52,0.5,0.5,-0.8991604073643952,0.05,2.7707041757745032,0.2,-0.09246180308109646,-0.20952809981255238,0.3912972656150752,0.35261134697454016
53,0.5,0.5,-0.8991604073643952,0.05,3.143622352183625,0.2,-0.09246180308109646,-0.20952809981255238,0.3912972656150752,0.35261134697454016
54,0.5,0.5,-0.8991604073643952,0.05,3.143622352183625,0.2,-0.09246180308109646,-0.20952809981255238,0.3912972656150752,0.35261134697454016
55,0.5,0.5,-0.8999968272925726,0.05,3.0163673792398393,0.2,-0.09263645904480802,-0.20856879869623426,0.3904156275555054,0.3388909491006197
56,0.5,0.5,-0.8999968272925726,0.05,3.0163673792398393,0.2,-0.09263645904480802,-0.20856879869623426,0.3904156275555054,0.3388909491006197
57,0.5,0.5,-0.9007795563439538,0.05,2.888795767134978,0.2,-0.09279730440160949,-0.20760617592306801,0.38957725035205076,0.32502790451959346
58,0.5,0.5,-0.9007795563439538,0.05,2.888795767134978,0.2,-0.09279730440160949,-0.20760617592306801,0.38957725035205076,0.32502790451959346
59,0.5,0.5,-0.9015180445349771,0.05,2.4348530007130695,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
60,0.5,0.5,-0.9015180445349771,0.05,2.4348530007130695,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
61,0.5,0.5,-0.9015180445349771,0.05,2.7678261275111886,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
62,0.5,0.5,-0.9015180445349771,0.05,2.7678261275111886,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
63,0.5,0.5,-0.9015180445349771,0.05,2.765494701952905,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
64,0.5,0.5,-0.9015180445349771,0.05,2.765494701952905,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
65,0.5,0.5,-0.9015180445349771,0.05,2.764858550181605,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
66,0.5,0.5,-0.9015180445349771,0.05,2.764858550181605,0.2,-0.09294873745175641,-0.20668826209752497,0.3887879754380666,0.31182198462792016
67,0.5,0.5,-0.90222572252009,0.05,2.3358660833130145,0.2,-0.09309572091399904,-0.20585210797675454,0.3880503719178599,0.29990736320419586
68,0.5,0.5,-0.90222572252009,0.05,2.3358660833130145,0.2,-0.09309572091399904,-0.20585210797675454,0.3880503719178599,0.29990736320419586
69,0.5,0.5,-0.9046261842177872,0.05,1.9846175024119768,0.2,-0.09355197711340817,-0.20267226752348466,0.3854896578818709,0.25642154806719325
70,0.5,0.5,-0.9046261842177872,0.05,1.9846175024119768,0.2,-0.09355197711340817,-0.20267226752348466,0.3854896578818709,0.25642154806719325
71,0.5,0.5,-0.9046261842177872,0.05,2.262201006187747,0.2,-0.09355197711340817,-0.20267226752348466,0.3854896578818709,0.25642154806719325
72,0.5,0.5,-0.9046261842177872,0.05,2.262201006187747,0.2,-0.09355197711340817,-0.20267226752348466,0.3854896578818709,0.25642154806719325
73,0.5,0.5,-0.9051844894953683,0.05,1.907731686976877,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
74,0.5,0.5,-0.9051844894953683,0.05,1.907731686976877,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
75,0.5,0.5,-0.9051844894953683,0.05,2.1771761518863775,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
76,0.5,0.5,-0.9051844894953683,0.05,2.1771761518863775,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
77,0.5,0.5,-0.9051844894953683,0.05,2.1755773310582915,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
78,0.5,0.5,-0.9051844894953683,0.05,2.1755773310582915,0.2,-0.0936681608151324,-0.20201701303329736,0.3849072319362276,0.24711604487666822
79,0.5,0.5,-0.9057245493201923,0.05,1.833080351100659,0.2,-0.09378079790390674,-0.2013882782181587,0.38435079547187506,0.2382022552662692
80,0.5,0.5,-0.9057245493201923,0.05,1.833080351100659,0.2,-0.09378079790390674,-0.2013882782181587,0.38435079547187506,0.2382022552662692
81,0.5,0.5,-0.9063137381606763,0.05,1.7633014497121633,0.2,-0.09390697761369353,-0.20078443028437068,0.38375400766016826,0.2297201752825986
82,0.5,0.5,-0.9063137381606763,0.05,1.7633014497121633,0.2,-0.09390697761369353,-0.20078443028437068,0.38375400766016826,0.2297201752825986
