iter,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
102,10.0,1.0,0.0,1.0,83.65675277150078,83.65675277150078,175.0
103,-1.0,0.0,0.0,1.0,0.08496257272919489,0.010702734289628037,175.0
104,-1.0,0.0,0.0,1.0,0.010703949164967632,0.010703949164967632,175.0
105,10.0,3.0,0.0,1.0,87.13032350076087,83.65664536701593,175.0
106,-1.0,0.0,0.0,1.0,0.010707445718273149,0.010707445718273149,173.0
107,-1.0,0.0,0.0,1.0,0.0071377254998194655,0.010707445718273149,173.0
108,-1.0,0.0,0.0,1.0,0.010706654617749766,0.010706654617749766,173.0
109,-1.0,0.0,0.0,1.0,0.007138371002602785,0.010706654617749766,173.0
110,-1.0,0.0,0.0,1.0,0.010705863867533723,0.010705863867533723,173.0
111,10.0,1.0,0.0,1.0,87.13015087391659,83.65647610455767,200.0
112,-1.0,0.0,0.0,1.0,0.010709360412487478,0.010709360412487478,200.0
113,10.0,1.0,0.0,1.0,87.12983567114024,83.65616704494155,200.0
114,-1.0,0.0,1.0,0.0,0.010712856950098533,0.010712856950098533,200.0
115,-1.0,0.0,0.0,1.0,0.007133311572632674,0.010712856950098533,200.0
116,-1.0,0.0,0.0,1.0,0.010712063405116545,0.010712063405116545,200.0
117,10.0,1.0,0.0,1.0,87.12959204013785,83.65592816225141,200.0
118,-1.0,0.0,0.0,1.0,0.010715559934897,0.010715559934897,200.0
119,-1.0,0.0,0.0,1.0,0.007131107683354111,0.010715559934897,200.0
120,10.0,1.0,0.0,1.0,83.65568941865155,83.65568941865155,200.0
121,-1.0,0.0,0.0,1.0,0.08499646379826808,0.010714765168554147,200.0
122,-1.0,0.0,0.0,1.0,0.01071598047448418,0.01071598047448418,200.0
123,10.0,1.0,0.0,1.0,87.12923903492913,83.65558203711629,227.0
124,-1.0,0.0,0.0,1.0,0.010719476994069032,0.010719476994069032,227.0
125,10.0,1.0,0.0,1.0,87.12892398468837,83.65527312728968,227.0
126,10.0,1.0,0.0,1.0,83.65496426905766,83.65496426905766,227.0
127,-1.0,0.0,0.0,1.0,0.08501957969266873,0.010722973506320753,227.0
128,-1.0,0.0,0.0,1.0,0.010724189106539021,0.010724189106539021,227.0
129,10.0,2.0,0.0,1.0,87.12849948679768,83.65485690310118,227.0
130,-1.0,0.0,0.0,1.0,0.010727685609085517,0.010727685609085517,226.0
131,-1.0,0.0,0.0,1.0,0.00712122857862764,0.010727685609085517,226.0
132,-1.0,0.0,0.0,1.0,0.010726885380626798,0.010726885380626798,226.0
133,-1.0,0.0,0.0,1.0,0.0071218801600425275,0.010726885380626798,226.0
134,-1.0,0.0,0.0,1.0,0.01072608550711021,0.01072608550711021,226.0
135,10.0,1.0,0.0,1.0,87.12832867294549,83.65468941854677,253.0
136,-1.0,0.0,0.0,1.0,0.010729582001398032,0.010729582001398032,253.0
137,10.0,1.0,0.0,1.0,87.12801377484783,83.65438065812397,253.0
138,10.0,1.0,0.0,1.0,83.65407194922196,83.65407194922196,253.0
139,-1.0,0.0,0.0,1.0,0.08504802898994517,0.010733078488362326,253.0
140,-1.0,0.0,0.0,1.0,0.010734294450052558,0.010734294450052558,253.0
141,10.0,1.0,0.0,1.0,87.12758944853958,83.65396460247806,253.0
142,-1.0,0.0,0.0,1.0,0.010737790927322407,0.010737790927322407,253.0
143,-1.0,0.0,0.0,1.0,0.0071130049940645425,0.010737790927322407,253.0
144,-1.0,0.0,0.0,1.0,0.010736986136901404,0.010736986136901404,253.0
145,-1.0,0.0,0.0,1.0,0.007113659603899219,0.010736986136901404,253.0
146,-1.0,0.0,0.0,1.0,0.01073618170374349,0.01073618170374349,253.0
147,10.0,1.0,0.0,1.0,87.127419539345,83.65379800507051,280.0
148,-1.0,0.0,0.0,1.0,0.01073967817280093,0.01073967817280093,280.0
149,10.0,2.0,0.0,1.0,87.1271047930402,83.65348939370736,280.0
150,10.0,1.0,0.0,1.0,83.65318083379132,83.65318083379132,279.0
151,-1.0,0.0,0.0,1.0,0.08507644478883614,0.010743174634544238,279.0
152,-1.0,0.0,0.0,1.0,0.01074439095709619,0.01074439095709619,279.0
153,10.0,1.0,0.0,1.0,87.12668063793143,83.65307350622747,279.0
154,-1.0,0.0,0.0,1.0,0.010747887409156043,0.010747887409156043,279.0
155,-1.0,0.0,0.0,1.0,0.007104797200531099,0.010747887409156043,279.0
156,-1.0,0.0,0.0,1.0,0.010747078057703169,0.010747078057703169,279.0
157,-1.0,0.0,0.0,1.0,0.0071054548318243045,0.010747078057703169,279.0
158,-1.0,0.0,0.0,1.0,0.010746269065836752,0.010746269065836752,279.0
159,10.0,1.0,0.0,1.0,87.1265116322544,83.6529077948474,306.0
160,-1.0,0.0,0.0,1.0,0.010749765509730152,0.010749765509730152,306.0
161,10.0,1.0,0.0,1.0,87.12619703739334,83.65259933220074,306.0
162,10.0,1.0,0.0,1.0,83.65229092092781,83.65229092092781,306.0
163,-1.0,0.0,0.0,1.0,0.08510482712818628,0.010753261946318952,306.0
164,-1.0,0.0,0.0,1.0,0.010754478629123371,0.010754478629123371,306.0
165,10.0,1.0,0.0,1.0,87.12577305310222,83.65218361251154,306.0
166,-1.0,0.0,0.0,1.0,0.010757975056039473,0.010757975056039473,306.0
167,-1.0,0.0,0.0,1.0,0.007096605162198461,0.010757975056039473,306.0
168,-1.0,0.0,0.0,1.0,0.010757161144487512,0.010757161144487512,306.0
169,-1.0,0.0,0.0,1.0,0.007097265808011173,0.010757161144487512,306.0
170,-1.0,0.0,0.0,1.0,0.01075634759484782,0.01075634759484782,306.0
