iter,gameId,totalNumTroops
1,0.0,18.0
2,0.0,19.0
3,0.0,13.0
4,0.0,6.0
5,0.0,1.0
6,1.0,21.0
7,1.0,22.0
8,1.0,23.0
9,1.0,27.0
10,1.0,27.0
11,1.0,26.0
12,1.0,22.0
13,1.0,16.0
14,1.0,13.0
15,1.0,6.0
16,1.0,3.0
17,2.0,30.0
18,2.0,27.0
19,2.0,27.0
20,2.0,23.0
21,2.0,25.0
22,2.0,28.0
23,2.0,32.0
24,2.0,31.0
25,2.0,36.0
26,2.0,31.0
27,2.0,26.0
28,2.0,27.0
29,2.0,27.0
30,2.0,28.0
31,2.0,30.0
32,2.0,23.0
33,2.0,21.0
34,2.0,19.0
35,2.0,18.0
36,2.0,16.0
37,2.0,8.0
38,2.0,1.0
39,3.0,22.0
40,3.0,23.0
41,3.0,20.0
42,3.0,22.0
43,3.0,14.0
44,3.0,11.0
45,3.0,7.0
46,3.0,4.0
47,3.0,3.0
48,4.0,32.0
49,4.0,34.0
50,4.0,31.0
51,4.0,28.0
52,4.0,28.0
53,4.0,24.0
54,4.0,23.0
55,4.0,25.0
56,4.0,26.0
57,4.0,30.0
58,4.0,23.0
59,4.0,12.0
60,4.0,15.0
61,4.0,7.0
62,4.0,3.0
63,4.0,3.0
64,5.0,24.0
65,5.0,17.0
66,5.0,9.0
67,5.0,4.0
68,6.0,20.0
69,6.0,21.0
70,6.0,21.0
71,6.0,21.0
72,6.0,14.0
73,6.0,14.0
74,6.0,8.0
75,6.0,3.0
76,6.0,1.0
77,7.0,23.0
78,7.0,19.0
79,7.0,7.0
80,7.0,2.0
81,8.0,40.0
82,8.0,39.0
83,8.0,34.0
84,8.0,29.0
85,8.0,27.0
86,8.0,29.0
87,8.0,34.0
88,8.0,35.0
89,8.0,45.0
90,8.0,50.0
91,8.0,56.0
92,8.0,72.0
93,8.0,99.0
94,9.0,28.0
95,9.0,28.0
96,9.0,20.0
97,9.0,20.0
98,9.0,18.0
99,9.0,19.0
100,9.0,20.0
101,9.0,16.0
102,9.0,5.0
103,9.0,2.0
104,9.0,2.0
105,10.0,23.0
106,10.0,13.0
107,10.0,11.0
108,10.0,3.0
109,11.0,25.0
110,11.0,26.0
111,11.0,20.0
112,11.0,16.0
113,11.0,10.0
114,11.0,6.0
115,11.0,6.0
116,12.0,27.0
117,12.0,26.0
118,12.0,17.0
119,12.0,16.0
120,12.0,11.0
121,12.0,8.0
122,12.0,3.0
123,13.0,24.0
124,13.0,21.0
125,13.0,21.0
126,13.0,13.0
127,13.0,7.0
128,13.0,4.0
129,13.0,1.0
130,14.0,25.0
131,14.0,24.0
132,14.0,16.0
133,14.0,12.0
134,14.0,5.0
135,15.0,33.0
136,15.0,30.0
137,15.0,22.0
138,15.0,21.0
139,15.0,13.0
140,15.0,9.0
141,15.0,7.0
142,16.0,27.0
143,16.0,23.0
144,16.0,15.0
145,16.0,14.0
146,16.0,14.0
147,16.0,4.0
148,17.0,24.0
149,17.0,25.0
150,17.0,28.0
151,17.0,31.0
152,17.0,38.0
153,17.0,42.0
154,17.0,42.0
155,17.0,45.0
156,17.0,37.0
157,17.0,46.0
158,17.0,52.0
159,17.0,56.0
160,18.0,26.0
161,18.0,20.0
162,18.0,21.0
163,18.0,12.0
164,18.0,9.0
165,18.0,7.0
166,18.0,1.0
167,19.0,29.0
168,19.0,31.0
169,19.0,36.0
170,19.0,44.0
171,19.0,53.0
172,19.0,70.0
173,19.0,86.0
174,19.0,105.0
175,19.0,135.0
176,19.0,168.0
177,20.0,29.0
178,20.0,23.0
179,20.0,25.0
180,20.0,27.0
181,20.0,28.0
182,20.0,23.0
183,20.0,25.0
184,20.0,29.0
185,20.0,28.0
186,20.0,33.0
187,20.0,32.0
188,20.0,38.0
189,20.0,43.0
190,20.0,49.0
191,20.0,45.0
192,20.0,65.0
193,20.0,91.0
194,20.0,119.0
195,21.0,22.0
196,21.0,25.0
197,21.0,21.0
198,21.0,18.0
199,21.0,6.0
200,21.0,2.0
201,21.0,1.0
202,22.0,25.0
203,22.0,28.0
204,22.0,32.0
205,22.0,37.0
206,22.0,52.0
207,22.0,67.0
208,22.0,96.0
209,22.0,130.0
210,22.0,159.0
211,22.0,191.0
212,23.0,25.0
213,23.0,28.0
214,23.0,25.0
215,23.0,33.0
216,23.0,34.0
217,23.0,34.0
218,23.0,41.0
219,23.0,37.0
220,23.0,37.0
221,23.0,46.0
222,23.0,65.0
