iter,gameId,totalNumTroops
1,0.0,40.0
2,0.0,39.0
3,0.0,43.0
4,0.0,54.0
5,0.0,64.0
6,1.0,41.0
7,1.0,29.0
8,1.0,28.0
9,1.0,29.0
10,1.0,26.0
11,1.0,32.0
12,1.0,38.0
13,1.0,45.0
14,1.0,50.0
15,1.0,64.0
16,1.0,87.0
17,2.0,39.0
18,2.0,30.0
19,2.0,27.0
20,2.0,29.0
21,2.0,37.0
22,2.0,36.0
23,2.0,32.0
24,2.0,38.0
25,2.0,35.0
26,2.0,36.0
27,2.0,27.0
28,2.0,30.0
29,2.0,29.0
30,2.0,36.0
31,2.0,37.0
32,2.0,36.0
33,2.0,40.0
34,2.0,39.0
35,2.0,35.0
36,2.0,49.0
37,2.0,57.0
38,2.0,65.0
39,3.0,46.0
40,3.0,32.0
41,3.0,34.0
42,3.0,40.0
43,3.0,46.0
44,3.0,39.0
45,3.0,45.0
46,3.0,62.0
47,3.0,88.0
48,4.0,35.0
49,4.0,28.0
50,4.0,32.0
51,4.0,32.0
52,4.0,25.0
53,4.0,25.0
54,4.0,32.0
55,4.0,31.0
56,4.0,31.0
57,4.0,33.0
58,4.0,36.0
59,4.0,47.0
60,4.0,52.0
61,4.0,68.0
62,4.0,85.0
63,4.0,111.0
64,5.0,45.0
65,5.0,51.0
66,5.0,64.0
67,5.0,75.0
68,6.0,44.0
69,6.0,40.0
70,6.0,40.0
71,6.0,39.0
72,6.0,34.0
73,6.0,40.0
74,6.0,51.0
75,6.0,68.0
76,6.0,90.0
77,7.0,45.0
78,7.0,54.0
79,7.0,69.0
80,7.0,71.0
81,8.0,36.0
82,8.0,24.0
83,8.0,23.0
84,8.0,27.0
85,8.0,26.0
86,8.0,25.0
87,8.0,25.0
88,8.0,21.0
89,8.0,18.0
90,8.0,16.0
91,8.0,12.0
92,8.0,13.0
93,8.0,5.0
94,8.0,2.0
95,9.0,41.0
96,9.0,47.0
97,9.0,46.0
98,9.0,43.0
99,9.0,43.0
100,9.0,35.0
101,9.0,43.0
102,9.0,49.0
103,9.0,58.0
104,9.0,77.0
105,9.0,99.0
106,10.0,35.0
107,10.0,44.0
108,10.0,53.0
109,10.0,64.0
110,11.0,45.0
111,11.0,40.0
112,11.0,31.0
113,11.0,41.0
114,11.0,50.0
115,11.0,59.0
116,11.0,74.0
117,12.0,40.0
118,12.0,33.0
119,12.0,37.0
120,12.0,34.0
121,12.0,43.0
122,12.0,52.0
123,12.0,69.0
124,13.0,39.0
125,13.0,37.0
126,13.0,46.0
127,13.0,53.0
128,13.0,58.0
129,13.0,83.0
130,13.0,97.0
131,14.0,43.0
132,14.0,38.0
133,14.0,38.0
134,14.0,47.0
135,14.0,57.0
136,15.0,41.0
137,15.0,41.0
138,15.0,40.0
139,15.0,42.0
140,15.0,44.0
141,15.0,53.0
142,15.0,71.0
143,15.0,96.0
144,16.0,44.0
145,16.0,42.0
146,16.0,40.0
147,16.0,49.0
148,16.0,64.0
149,16.0,73.0
150,17.0,43.0
151,17.0,27.0
152,17.0,28.0
153,17.0,27.0
154,17.0,21.0
155,17.0,20.0
156,17.0,20.0
157,17.0,18.0
158,17.0,18.0
159,17.0,12.0
160,17.0,12.0
161,17.0,12.0
162,17.0,3.0
163,18.0,40.0
164,18.0,37.0
165,18.0,36.0
166,18.0,47.0
167,18.0,49.0
168,18.0,62.0
169,18.0,85.0
170,18.0,119.0
171,19.0,34.0
172,19.0,33.0
173,19.0,25.0
174,19.0,19.0
175,19.0,17.0
176,19.0,15.0
177,19.0,11.0
178,19.0,3.0
179,19.0,1.0
180,19.0,1.0
181,20.0,39.0
182,20.0,34.0
183,20.0,34.0
184,20.0,25.0
185,20.0,30.0
186,20.0,26.0
187,20.0,30.0
188,20.0,36.0
189,20.0,25.0
190,20.0,25.0
191,20.0,24.0
192,20.0,24.0
193,20.0,19.0
194,20.0,18.0
195,20.0,13.0
196,20.0,11.0
197,20.0,6.0
198,20.0,2.0
199,20.0,1.0
200,21.0,37.0
201,21.0,39.0
202,21.0,45.0
203,21.0,59.0
204,21.0,66.0
205,21.0,81.0
206,21.0,108.0
207,21.0,142.0
208,22.0,40.0
209,22.0,27.0
210,22.0,26.0
211,22.0,17.0
212,22.0,13.0
213,22.0,11.0
214,22.0,6.0
215,22.0,4.0
216,22.0,1.0
217,22.0,1.0
218,23.0,33.0
219,23.0,29.0
220,23.0,27.0
221,23.0,29.0
222,23.0,20.0
223,23.0,21.0
224,23.0,18.0
225,23.0,20.0
226,23.0,15.0
227,23.0,15.0
228,23.0,13.0
229,23.0,7.0
230,23.0,4.0
231,23.0,1.0
232,24.0,44.0
233,24.0,44.0
234,24.0,47.0
235,24.0,50.0
236,24.0,50.0
237,24.0,56.0
238,25.0,39.0
239,25.0,33.0
240,25.0,38.0
241,25.0,39.0
242,25.0,41.0
243,25.0,57.0
244,25.0,76.0
245,25.0,103.0
246,25.0,137.0
247,26.0,37.0
248,26.0,30.0
249,26.0,23.0
250,26.0,25.0
251,26.0,27.0
252,26.0,26.0
253,26.0,22.0
254,26.0,18.0
255,26.0,15.0
256,26.0,8.0
257,26.0,6.0
258,26.0,3.0
259,27.0,45.0
260,27.0,40.0
261,27.0,46.0
262,27.0,53.0
263,27.0,56.0
264,27.0,65.0
265,28.0,45.0
266,28.0,38.0
267,28.0,38.0
268,28.0,41.0
269,28.0,42.0
270,28.0,47.0
271,28.0,62.0
272,28.0,83.0
273,28.0,116.0
274,29.0,38.0
275,29.0,28.0
276,29.0,29.0
277,29.0,41.0
278,29.0,45.0
279,29.0,47.0
280,29.0,62.0
281,29.0,84.0
282,29.0,108.0
283,29.0,135.0
284,30.0,42.0
285,30.0,34.0
286,30.0,30.0
287,30.0,35.0
288,30.0,30.0
289,30.0,31.0
290,30.0,38.0
291,30.0,32.0
292,30.0,38.0
293,30.0,42.0
294,30.0,34.0
295,30.0,52.0
296,30.0,70.0
297,30.0,89.0
298,30.0,115.0
299,30.0,150.0
300,31.0,32.0
301,31.0,36.0
302,31.0,32.0
303,31.0,43.0
304,31.0,39.0
305,31.0,55.0
306,31.0,71.0
307,31.0,95.0
308,32.0,42.0
309,32.0,31.0
310,32.0,30.0
311,32.0,27.0
312,32.0,27.0
313,32.0,28.0
314,32.0,36.0
315,32.0,35.0
316,32.0,45.0
317,32.0,45.0
318,32.0,61.0
319,32.0,70.0
320,32.0,95.0
321,33.0,46.0
322,33.0,43.0
323,33.0,37.0
324,33.0,38.0
325,33.0,32.0
326,33.0,32.0
327,33.0,35.0
328,33.0,33.0
329,33.0,30.0
330,33.0,32.0
331,33.0,31.0
332,33.0,32.0
333,33.0,24.0
334,33.0,25.0
335,33.0,12.0
336,33.0,12.0
337,33.0,7.0
338,33.0,4.0
339,33.0,8.0
340,33.0,7.0
341,33.0,2.0
342,33.0,3.0
343,33.0,1.0
344,33.0,1.0
345,34.0,45.0
346,34.0,40.0
347,34.0,50.0
348,34.0,61.0
349,34.0,78.0
350,34.0,97.0
351,35.0,42.0
352,35.0,42.0
353,35.0,52.0
354,35.0,60.0
355,35.0,81.0
356,36.0,41.0
357,36.0,41.0
358,36.0,39.0
359,36.0,50.0
360,36.0,65.0
361,36.0,83.0
362,37.0,40.0
363,37.0,39.0
364,37.0,49.0
365,37.0,47.0
366,37.0,60.0
367,37.0,68.0
368,38.0,44.0
369,38.0,41.0
370,38.0,37.0
371,38.0,39.0
372,38.0,50.0
373,38.0,65.0
374,38.0,82.0
375,39.0,38.0
376,39.0,44.0
377,39.0,46.0
378,39.0,54.0
379,39.0,71.0
380,39.0,95.0
381,40.0,43.0
382,40.0,40.0
383,40.0,41.0
384,40.0,51.0
385,40.0,63.0
386,41.0,37.0
387,41.0,40.0
388,41.0,43.0
389,41.0,45.0
390,41.0,53.0
391,41.0,70.0
392,41.0,94.0
393,42.0,41.0
394,42.0,32.0
395,42.0,31.0
396,42.0,38.0
397,42.0,53.0
398,42.0,69.0
399,42.0,82.0
400,43.0,41.0
401,43.0,42.0
402,43.0,49.0
403,43.0,54.0
404,43.0,68.0
405,44.0,39.0
406,44.0,40.0
407,44.0,49.0
408,44.0,55.0
409,44.0,67.0
410,45.0,32.0
411,45.0,29.0
412,45.0,36.0
413,45.0,43.0
414,45.0,46.0
415,45.0,41.0
416,45.0,46.0
417,45.0,52.0
418,45.0,74.0
419,46.0,42.0
420,46.0,36.0
421,46.0,26.0
422,46.0,28.0
423,46.0,26.0
424,46.0,24.0
425,46.0,25.0
426,46.0,22.0
427,46.0,26.0
428,46.0,27.0
429,46.0,25.0
430,46.0,27.0
431,46.0,25.0
432,46.0,32.0
433,46.0,33.0
434,46.0,31.0
435,46.0,38.0
436,46.0,36.0
437,46.0,42.0
438,46.0,41.0
439,46.0,47.0
440,46.0,51.0
441,46.0,60.0
442,46.0,67.0
443,46.0,83.0
444,46.0,118.0
445,47.0,39.0
446,47.0,38.0
447,47.0,36.0
448,47.0,43.0
449,47.0,42.0
450,47.0,38.0
451,47.0,42.0
452,47.0,49.0
453,47.0,50.0
454,47.0,65.0
455,48.0,42.0
456,48.0,40.0
457,48.0,40.0
458,48.0,47.0
459,48.0,48.0
460,48.0,54.0
461,48.0,71.0
462,48.0,89.0
463,49.0,41.0
464,49.0,45.0
465,49.0,45.0
466,49.0,54.0
467,49.0,70.0
468,50.0,44.0
469,50.0,51.0
470,50.0,63.0
471,50.0,71.0
472,50.0,87.0
473,51.0,42.0
474,51.0,48.0
475,51.0,64.0
476,52.0,37.0
477,52.0,33.0
478,52.0,37.0
479,52.0,40.0
480,52.0,46.0
481,52.0,52.0
482,52.0,61.0
483,52.0,85.0
484,52.0,115.0
485,52.0,139.0
486,53.0,43.0
487,53.0,26.0
488,53.0,21.0
489,53.0,15.0
490,53.0,10.0
491,53.0,6.0
492,53.0,3.0
493,54.0,43.0
494,54.0,32.0
495,54.0,26.0
496,54.0,27.0
497,54.0,22.0
498,54.0,22.0
499,54.0,20.0
500,54.0,16.0
501,54.0,8.0
502,54.0,3.0
503,55.0,44.0
504,55.0,39.0
505,55.0,40.0
506,55.0,47.0
507,55.0,48.0
508,55.0,57.0
509,56.0,37.0
510,56.0,41.0
511,56.0,51.0
512,56.0,69.0
513,56.0,97.0
514,57.0,47.0
515,57.0,30.0
516,57.0,34.0
517,57.0,36.0
518,57.0,31.0
519,57.0,35.0
520,57.0,39.0
521,57.0,42.0
522,57.0,46.0
523,57.0,54.0
524,57.0,74.0
525,58.0,40.0
526,58.0,39.0
527,58.0,42.0
528,58.0,36.0
529,58.0,44.0
530,58.0,52.0
531,58.0,66.0
532,58.0,84.0
533,59.0,44.0
534,59.0,44.0
535,59.0,46.0
536,59.0,62.0
537,60.0,39.0
538,60.0,41.0
539,60.0,39.0
540,60.0,32.0
541,60.0,36.0
542,60.0,42.0
543,60.0,48.0
544,60.0,61.0
545,60.0,80.0
546,60.0,108.0
547,61.0,35.0
548,61.0,24.0
549,61.0,25.0
550,61.0,21.0
551,61.0,24.0
552,61.0,18.0
553,61.0,16.0
554,61.0,10.0
555,61.0,7.0
556,62.0,40.0
557,62.0,27.0
558,62.0,26.0
559,62.0,27.0
560,62.0,21.0
561,62.0,21.0
562,62.0,17.0
563,62.0,13.0
564,62.0,12.0
565,62.0,7.0
566,62.0,3.0
567,62.0,2.0
568,63.0,45.0
569,63.0,55.0
570,63.0,59.0
571,63.0,57.0
572,63.0,66.0
573,64.0,46.0
574,64.0,45.0
575,64.0,46.0
576,64.0,51.0
577,64.0,60.0
578,64.0,75.0
579,64.0,86.0
580,64.0,113.0
581,65.0,42.0
582,65.0,37.0
583,65.0,36.0
584,65.0,49.0
585,65.0,59.0
586,65.0,77.0
587,65.0,102.0
588,66.0,44.0
589,66.0,39.0
590,66.0,45.0
591,66.0,48.0
592,66.0,57.0
593,67.0,38.0
594,67.0,30.0
595,67.0,38.0
596,67.0,34.0
597,67.0,40.0
598,67.0,34.0
599,67.0,34.0
600,67.0,29.0
601,67.0,35.0
602,67.0,27.0
603,67.0,29.0
604,67.0,34.0
605,67.0,32.0
606,67.0,39.0
607,67.0,34.0
608,67.0,32.0
609,67.0,43.0
610,67.0,47.0
611,67.0,51.0
612,67.0,73.0
613,68.0,44.0
614,68.0,37.0
