iter,gameId,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
1,0.0,10.0,5.0,0.0,1.0,73.03531791638243,68.29970430056659,23.0
2,0.0,10.0,2.0,0.0,1.0,71.89381206950691,71.89381206950691,19.0
3,0.0,-1.0,0.0,1.0,0.0,0.6739906878427462,0.59191954537047,21.0
4,0.0,10.0,2.0,0.0,1.0,72.7928589266801,72.7928589266801,21.0
5,0.0,10.0,2.0,0.0,1.0,71.82640458019466,71.82640458019466,20.0
6,0.0,-1.0,0.0,1.0,0.0,0.7220923604077008,0.5996974085484761,17.0
7,0.0,10.0,2.0,0.0,1.0,71.08436327743865,72.31004248060421,17.0
8,0.0,-3.0,3.0,0.0,1.0,6.56845917672363,6.56845917672363,16.0
9,0.0,-1.0,0.0,1.0,0.0,0.6709696830295739,0.619675063257339,8.0
10,0.0,10.0,1.0,0.0,1.0,72.17922466205853,72.17922466205853,8.0
11,0.0,10.0,2.0,0.0,1.0,71.15380967752505,71.15380967752505,8.0
12,0.0,-1.0,1.0,0.0,1.0,0.8077119468847062,0.8077119468847062,7.0
13,0.0,-2.0,2.0,1.0,1.0,3.0195979029814506,2.914146338697948,3.0
14,1.0,10.0,5.0,0.0,1.0,71.33708653016127,71.28828222461806,30.0
15,1.0,10.0,2.0,0.0,1.0,70.3069226436056,70.3069226436056,26.0
16,1.0,-1.0,1.0,0.0,1.0,0.7561333867392241,0.7561333867392241,25.0
17,1.0,-1.0,0.0,1.0,0.0,0.6362553981481008,0.6362553981481008,24.0
18,1.0,10.0,2.0,0.0,1.0,71.49676409173753,71.49676409173753,24.0
19,1.0,-2.0,2.0,0.0,1.0,3.0982655542578565,3.0982655542578565,23.0
20,1.0,10.0,1.0,0.0,1.0,70.42050953189815,71.05049487984209,23.0
21,1.0,-1.0,1.0,0.0,1.0,0.7722582890595447,0.7722582890595447,23.0
22,1.0,10.0,1.0,0.0,1.0,71.58648063698035,71.58648063698035,22.0
23,1.0,10.0,1.0,0.0,1.0,70.98112498689531,70.98112498689531,22.0
24,1.0,10.0,1.0,0.0,1.0,70.33463102933551,70.33463102933551,22.0
25,1.0,-1.0,0.0,0.0,1.0,0.6634106784742885,0.6634106784742885,22.0
26,1.0,-1.0,0.0,1.0,0.0,0.8726690268461214,0.6638307874324897,23.0
27,1.0,-1.0,0.0,1.0,0.0,0.7005459778127012,0.7005459778127012,23.0
28,1.0,10.0,1.0,0.0,1.0,74.285701527397,74.285701527397,23.0
29,1.0,10.0,1.0,0.0,1.0,73.48073307481388,73.48073307481388,23.0
30,1.0,10.0,1.0,0.0,1.0,72.31657496493052,74.29712454562747,28.0
31,1.0,10.0,1.0,0.0,1.0,74.30174845792187,74.30174845792187,28.0
32,1.0,-1.0,0.0,1.0,0.0,0.7164491851843676,0.7164491851843676,28.0
33,1.0,-1.0,0.0,1.0,0.0,0.7164491851843676,0.7164491851843676,28.0
34,1.0,10.0,2.0,0.0,1.0,71.79471294775544,71.79471294775544,28.0
35,1.0,-1.0,0.0,1.0,0.0,0.7164491851843676,0.7164491851843676,27.0
36,1.0,-1.0,0.0,0.0,1.0,0.7164491851843676,0.7164491851843676,27.0
37,1.0,-1.0,0.0,0.0,1.0,0.7164491851843676,0.7164491851843676,27.0
38,1.0,-1.0,0.0,1.0,0.0,0.9182335130087039,0.692811453001715,27.0
39,1.0,-1.0,0.0,1.0,0.0,0.7049079650427772,0.7049079650427772,27.0
40,1.0,-1.0,0.0,0.0,0.0,0.8117687529337518,0.8117687529337518,27.0
41,1.0,-1.0,0.0,1.0,0.0,0.7049079650427772,0.7049079650427772,27.0
42,1.0,-1.0,0.0,1.0,0.0,0.7294702767702237,0.7294702767702237,27.0
43,1.0,-1.0,1.0,0.0,1.0,0.9411568985182609,0.9893824028217424,27.0
44,1.0,-1.0,0.0,1.0,0.0,0.7043743637351619,0.8528022869492037,26.0
45,1.0,-1.0,0.0,1.0,0.0,0.8561341475057448,0.8561341475057448,26.0
46,1.0,-1.0,0.0,1.0,0.0,0.6031650595601517,0.8204763928170415,22.0
47,1.0,-1.0,0.0,1.0,0.0,0.7084866590653683,0.7084866590653683,22.0
48,1.0,-1.0,0.0,1.0,0.0,0.5838257588023138,0.7188610860303983,17.0
49,1.0,-1.0,0.0,1.0,0.0,0.7073030203992298,0.7073030203992298,17.0
50,1.0,-1.0,0.0,1.0,0.0,0.7078908482276385,0.7078908482276385,17.0
51,1.0,10.0,1.0,0.0,1.0,72.49077017857343,72.49077017857343,17.0
52,1.0,10.0,2.0,0.0,1.0,70.58995311468709,70.58995311468709,17.0
53,1.0,-1.0,0.0,1.0,0.0,0.9995026722444895,0.695359796333243,14.0
54,1.0,-1.0,0.0,1.0,0.0,0.9661154066357586,0.6948878128427725,14.0
55,1.0,10.0,2.0,0.0,1.0,70.85349213745573,70.85349213745573,14.0
56,1.0,-1.0,0.0,1.0,0.0,0.7097172940840849,0.7097172940840849,13.0
57,1.0,-2.0,2.0,1.0,1.0,3.041582397735828,2.9850152693360914,11.0
58,1.0,-3.0,3.0,1.0,1.0,6.681939493072925,6.596741906667939,9.0
59,1.0,-2.0,2.0,0.0,1.0,3.0246490216173174,3.083793731295435,5.0
60,2.0,-1.0,0.0,1.0,0.0,0.6976445751653478,0.7308864073253131,34.0
61,2.0,-1.0,0.0,0.0,0.0,0.7832900131403605,0.7832900131403605,34.0
62,2.0,10.0,5.0,0.0,1.0,71.58719492405483,71.58719492405483,34.0
63,2.0,10.0,1.0,0.0,1.0,71.3373145530633,71.3373145530633,30.0
64,2.0,10.0,1.0,0.0,1.0,70.17082184007046,70.17082184007046,30.0
65,2.0,10.0,1.0,0.0,1.0,69.06018812986251,69.06018812986251,30.0
66,2.0,-1.0,0.0,1.0,0.0,0.7897859406987855,0.7897859406987855,30.0
67,2.0,-1.0,0.0,1.0,0.0,0.8382422799956551,0.8382422799956551,30.0
68,2.0,-1.0,0.0,1.0,0.0,0.8382422799956551,0.8382422799956551,30.0
69,2.0,-1.0,0.0,1.0,0.0,0.849860240476104,0.849860240476104,30.0
70,2.0,-1.0,0.0,1.0,0.0,0.8477328070494445,0.7290797627778627,28.0
71,2.0,-1.0,0.0,1.0,0.0,0.7374804281363054,0.7374804281363054,28.0
72,2.0,-1.0,0.0,1.0,0.0,0.7374804281363054,0.7374804281363054,28.0
73,2.0,-1.0,0.0,1.0,0.0,0.7374804281363054,0.7374804281363054,28.0
74,2.0,10.0,2.0,0.0,1.0,76.93900384062516,76.93900384062516,28.0
75,2.0,-1.0,0.0,1.0,0.0,0.8641825163744548,0.8641825163744548,27.0
76,2.0,-1.0,0.0,1.0,0.0,0.7889135055195724,0.7374804281363054,28.0
77,2.0,-1.0,0.0,1.0,0.0,0.7425522293940949,0.7425522293940949,28.0
78,2.0,-1.0,1.0,0.0,1.0,1.01041388411772,1.01041388411772,28.0
79,2.0,10.0,1.0,0.0,1.0,80.02923310301423,80.02923310301423,27.0
80,2.0,-1.0,0.0,1.0,0.0,1.0173715650750599,1.0173715650750599,27.0
81,2.0,-1.0,0.0,1.0,0.0,1.0173715650750599,1.0173715650750599,27.0
82,2.0,-1.0,0.0,1.0,0.0,0.8175352559691039,0.7425522293940949,23.0
83,2.0,10.0,1.0,0.0,1.0,68.29413275458282,68.29413275458282,23.0
84,2.0,10.0,1.0,0.0,1.0,68.29413275458282,68.29413275458282,23.0
85,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
86,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
87,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
88,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
89,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
90,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
91,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
92,2.0,-1.0,0.0,1.0,0.0,0.7503129297265866,0.7503129297265866,23.0
93,2.0,-1.0,1.0,0.0,1.0,1.150039129031815,1.1179723890964792,26.0
94,2.0,10.0,1.0,0.0,1.0,74.96956913846091,75.39913581627337,25.0
95,2.0,10.0,1.0,0.0,1.0,73.88592432308465,73.88592432308465,25.0
96,2.0,10.0,1.0,0.0,1.0,72.60997293968724,76.95454082395446,30.0
97,2.0,-1.0,0.0,0.0,1.0,0.961441757908095,0.961441757908095,30.0
98,2.0,-1.0,0.0,1.0,0.0,0.961441757908095,0.961441757908095,30.0
99,2.0,-1.0,0.0,1.0,0.0,0.961441757908095,0.961441757908095,30.0
100,2.0,-1.0,1.0,0.0,1.0,1.2708937616427185,1.2708937616427185,30.0
101,2.0,-1.0,0.0,0.0,1.0,1.198889036115864,1.198889036115864,29.0
102,2.0,10.0,2.0,0.0,1.0,71.64804256714022,71.64804256714022,29.0
103,2.0,10.0,1.0,0.0,1.0,71.42063944732382,71.42063944732382,28.0
104,2.0,10.0,1.0,0.0,1.0,77.90343465769699,87.00142596353629,33.0
105,2.0,-1.0,0.0,1.0,0.0,2.1728094109309963,2.1728094109309963,33.0
106,2.0,-1.0,0.0,1.0,0.0,0.8330354285569154,0.8330354285569154,33.0
107,2.0,-1.0,0.0,1.0,0.0,0.8330354285569154,0.8330354285569154,33.0
108,2.0,-1.0,0.0,1.0,0.0,1.2536673552348736,1.2536673552348736,33.0
109,2.0,-1.0,0.0,1.0,0.0,1.2536673552348736,1.2536673552348736,33.0
110,2.0,-1.0,0.0,1.0,0.0,1.1064834053731742,1.1064834053731742,33.0
111,2.0,-1.0,0.0,1.0,0.0,0.8330354285569154,0.8330354285569154,33.0
112,2.0,10.0,1.0,0.0,1.0,66.50143364096748,66.50143364096748,33.0
113,2.0,-1.0,0.0,1.0,0.0,0.8330354285569154,0.8330354285569154,33.0
114,2.0,-1.0,1.0,0.0,1.0,1.4857643960802416,1.4857643960802416,33.0
115,2.0,10.0,3.0,0.0,1.0,71.26570234497535,76.1553333326647,36.0
116,2.0,-1.0,0.0,1.0,0.0,1.6242096327841515,1.1532187968828325,34.0
117,2.0,-1.0,0.0,1.0,0.0,0.823336482490249,0.823336482490249,34.0
118,2.0,-1.0,0.0,1.0,0.0,0.8668254834739767,0.8668254834739767,34.0
119,2.0,10.0,1.0,0.0,1.0,66.81998384261185,66.81998384261185,34.0
120,2.0,-2.0,2.0,0.0,1.0,4.934030500372856,4.934030500372856,34.0
121,2.0,-1.0,0.0,1.0,0.0,1.7965567113092324,1.7965567113092324,32.0
122,2.0,-1.0,0.0,0.0,1.0,1.907381719819514,1.907381719819514,32.0
123,2.0,-1.0,0.0,1.0,0.0,1.907381719819514,1.907381719819514,32.0
124,2.0,-1.0,0.0,1.0,0.0,1.0073488325656998,1.0073488325656998,32.0
125,2.0,10.0,2.0,0.0,1.0,62.649435962947955,62.649435962947955,32.0
126,2.0,-1.0,0.0,1.0,0.0,1.012363487824948,0.8668254834739767,36.0
127,2.0,-1.0,0.0,1.0,0.0,0.8967216959295253,0.8967216959295253,36.0
128,2.0,10.0,1.0,0.0,1.0,64.60519342527795,64.60519342527795,36.0
129,2.0,-1.0,0.0,1.0,0.0,2.5414430331084037,2.5414430331084037,36.0
130,2.0,-1.0,0.0,1.0,0.0,3.2393604633070274,3.2393604633070274,36.0
131,2.0,-1.0,0.0,1.0,0.0,3.2393604633070274,3.2393604633070274,36.0
132,2.0,-1.0,0.0,1.0,0.0,3.0470703865252067,3.0470703865252067,36.0
133,2.0,-1.0,0.0,1.0,0.0,3.2393604633070274,3.2393604633070274,36.0
