iter,reward,lossInTroops,exploration,estimatorAttack,estimatorOffset,targetOffset,totalNumTroops
1,-1.0,0.0,0.0,0.0,1.7474205967683194,0.33073815035103843,23.0
2,-1.0,0.0,0.0,0.0,0.6302616716376088,0.6302616716376088,23.0
3,-1.0,0.0,0.0,0.0,0.3670772035093452,0.6302616716376088,16.0
4,-1.0,0.0,0.0,0.0,0.4898324072891916,0.4898324072891916,16.0
5,-1.0,0.0,0.0,0.0,0.26200089376517033,0.4898324072891916,8.0
6,-1.0,0.0,0.0,0.0,0.3670798896537966,0.3670798896537966,8.0
7,-1.0,0.0,0.0,0.0,0.1746008771619747,0.3670798896537966,8.0
8,-1.0,0.0,0.0,0.0,0.26200398959712384,0.26200398959712384,8.0
9,-1.0,0.0,0.0,0.0,0.10487682210698761,0.26200398959712384,8.0
